method,round,auc_global
fedavg,5,0.9176374277838262
fedavg,10,0.9260448470900473
fedavg,15,0.9294154374576568
fedavg,20,0.930451705220038
fedavg,25,0.9312421247983007
fedavg,30,0.9298982137670195
fedavg,35,0.9307126011872586
fedavg,40,0.9290552022204555
fedavg,45,0.9264924326947991
fedavg,50,0.9252036191669462
fedbn,5,0.8979333585641317
fedbn,10,0.9126545060040463
fedbn,15,0.9175689210903053
fedbn,20,0.9109474248190266
fedbn,25,0.9220647812049723
fedbn,30,0.9157782881500618
fedbn,35,0.9037234371123153
fedbn,40,0.9186890129075959
fedbn,45,0.9199434373268938
fedbn,50,0.9091501384798241
fedsubgroup,5,0.9151778728685986
fedsubgroup,10,0.9246247391121412
fedsubgroup,15,0.928828059798007
fedsubgroup,20,0.929527357674828
fedsubgroup,25,0.9310381756176286
fedsubgroup,30,0.9314671677329397
fedsubgroup,35,0.9318911450382961
fedsubgroup,40,0.9293713818550777
fedsubgroup,45,0.9276837006416532
fedsubgroup,50,0.9257088440514858
