method,sensitive,auc_global,worst_group_auc,auc_gap,dp_gap,eo_gap,n_seeds
ditto,age,0.914 +/- 0.003,0.899 +/- 0.005,0.023 +/- 0.006,0.188 +/- 0.014,0.077 +/- 0.015,6
ditto,sex,0.914 +/- 0.003,0.911 +/- 0.003,0.005 +/- 0.004,0.066 +/- 0.009,0.031 +/- 0.011,6
fedavg,age,0.924 +/- 0.002,0.909 +/- 0.003,0.023 +/- 0.005,0.176 +/- 0.008,0.059 +/- 0.005,6
fedavg,sex,0.924 +/- 0.003,0.920 +/- 0.003,0.005 +/- 0.004,0.065 +/- 0.007,0.028 +/- 0.006,6
fedbn,age,0.909 +/- 0.008,0.893 +/- 0.006,0.021 +/- 0.007,0.187 +/- 0.007,0.086 +/- 0.016,6
fedbn,sex,0.910 +/- 0.007,0.907 +/- 0.009,0.006 +/- 0.006,0.068 +/- 0.007,0.038 +/- 0.008,6
fedper,age,0.924 +/- 0.003,0.909 +/- 0.003,0.020 +/- 0.003,0.174 +/- 0.009,0.062 +/- 0.007,6
fedper,sex,0.924 +/- 0.003,0.921 +/- 0.005,0.006 +/- 0.005,0.067 +/- 0.006,0.031 +/- 0.005,6
fedrep,age,0.920 +/- 0.003,0.906 +/- 0.003,0.019 +/- 0.005,0.177 +/- 0.006,0.064 +/- 0.006,6
fedrep,sex,0.921 +/- 0.003,0.918 +/- 0.004,0.004 +/- 0.005,0.065 +/- 0.009,0.027 +/- 0.008,6
fedsubgroup,age,0.925 +/- 0.001,0.910 +/- 0.001,0.023 +/- 0.003,0.184 +/- 0.010,0.073 +/- 0.011,6
fedsubgroup,sex,0.925 +/- 0.002,0.922 +/- 0.003,0.005 +/- 0.005,0.067 +/- 0.008,0.029 +/- 0.011,6
