method,sensitive,auc_global,worst_group_auc,auc_gap,dp_gap,eo_gap,n_seeds
centralized,age,0.847 +/- 0.026,0.789 +/- 0.046,0.092 +/- 0.060,0.286 +/- 0.113,0.146 +/- 0.073,10
centralized,sex,0.847 +/- 0.026,0.787 +/- 0.060,0.081 +/- 0.060,0.403 +/- 0.054,0.206 +/- 0.079,10
ditto,age,0.843 +/- 0.033,0.784 +/- 0.048,0.091 +/- 0.062,0.262 +/- 0.074,0.131 +/- 0.062,10
ditto,sex,0.843 +/- 0.033,0.802 +/- 0.039,0.053 +/- 0.052,0.419 +/- 0.053,0.236 +/- 0.104,10
fedavg,age,0.845 +/- 0.035,0.811 +/- 0.050,0.053 +/- 0.052,0.260 +/- 0.088,0.113 +/- 0.062,10
fedavg,sex,0.845 +/- 0.035,0.768 +/- 0.082,0.087 +/- 0.054,0.383 +/- 0.054,0.196 +/- 0.097,10
fedavg_sg,age,0.849 +/- 0.014,0.814 +/- 0.028,0.053 +/- 0.040,0.256 +/- 0.087,0.115 +/- 0.057,10
fedavg_sg,sex,0.849 +/- 0.014,0.805 +/- 0.026,0.058 +/- 0.056,0.397 +/- 0.101,0.194 +/- 0.130,10
fedbn,age,0.855 +/- 0.029,0.803 +/- 0.043,0.081 +/- 0.048,0.274 +/- 0.084,0.117 +/- 0.068,10
fedbn,sex,0.855 +/- 0.029,0.798 +/- 0.043,0.068 +/- 0.033,0.429 +/- 0.076,0.240 +/- 0.097,10
fedper,age,0.862 +/- 0.027,0.822 +/- 0.043,0.056 +/- 0.048,0.323 +/- 0.076,0.166 +/- 0.060,10
fedper,sex,0.862 +/- 0.027,0.798 +/- 0.052,0.069 +/- 0.044,0.427 +/- 0.064,0.246 +/- 0.106,10
fedrep,age,0.860 +/- 0.026,0.817 +/- 0.039,0.060 +/- 0.045,0.325 +/- 0.063,0.168 +/- 0.048,10
fedrep,sex,0.860 +/- 0.026,0.818 +/- 0.031,0.046 +/- 0.054,0.442 +/- 0.054,0.269 +/- 0.083,10
fedsubgroup,age,0.861 +/- 0.018,0.816 +/- 0.039,0.065 +/- 0.049,0.265 +/- 0.077,0.125 +/- 0.057,10
fedsubgroup,sex,0.861 +/- 0.018,0.806 +/- 0.034,0.064 +/- 0.043,0.430 +/- 0.046,0.243 +/- 0.072,10
local_only,age,0.842 +/- 0.030,0.781 +/- 0.055,0.094 +/- 0.070,0.283 +/- 0.058,0.139 +/- 0.040,10
local_only,sex,0.842 +/- 0.030,0.792 +/- 0.059,0.078 +/- 0.057,0.409 +/- 0.071,0.217 +/- 0.106,10
